Nodal displacements, Ultimate - Load case: DL
ID	Node	ex	ey	ez	φ x	φ y	φ z	Case
[-]	[-]	[m]	[m]	[m]	[°]	[°]	[°]	[-]
BMBPL.1	12	0.000	-0.000	-0.004	-0.000	-0.068	0.000	DL
BMBPL.1	13	0.000	-0.000	-0.004	-0.000	-0.068	0.000	DL
BMBPL.1	111	0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	143	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	138	0.000	-0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	177	0.000	0.000	-0.003	-0.000	-0.068	-0.000	DL
BMBPL.1	103	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	146	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	54	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	61	0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	96	0.000	-0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	99	0.000	-0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	148	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	107	-0.000	0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	117	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	155	0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	94	0.000	-0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	48	-0.000	0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	66	0.000	0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	139	0.000	-0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	93	0.000	0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	112	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	157	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	97	0.000	-0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	57	0.000	-0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	172	0.000	0.000	-0.003	-0.000	-0.068	-0.000	DL
BMBPL.1	60	0.000	-0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	81	0.000	0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	161	0.000	0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	135	0.000	-0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	84	0.000	0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	37	0.000	0.000	-0.004	-0.000	-0.068	0.000	DL
BMBPL.1	68	0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	22	-0.000	-0.000	-0.004	-0.000	-0.068	0.000	DL
BMBPL.1	36	0.000	0.000	-0.004	-0.000	-0.068	0.000	DL
BMBPL.1	18	-0.000	-0.000	-0.004	-0.000	-0.068	0.000	DL
BMBPL.1	16	-0.000	-0.000	-0.004	-0.000	-0.068	0.000	DL
BMBPL.1	69	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	10	0.000	-0.000	-0.004	0.000	-0.068	0.000	DL
